REGISTER_ID,GENDER,AGE,INCOME
AP110291,F,44,12000
AP110292,M,23,35000
AP110293,M,36,20000
AP110294,F,46,25000
AP110295,M,30,40000
AP110296,F,41,25000
AP110297,M,22,35000
AP110298,M,36,15000
AP110299,M,28,20000
AP110300,F,40,12000
AP110301,F,46,10000
AP110302,F,44,15000
AP110303,F,28,40000
AP110304,F,22,12000
AP110305,F,43,25000
AP110306,M,35,15000
AP110307,M,25,20000
AP110308,F,28,30000
AP110309,M,50,25000
AP110310,F,46,15000
AP110311,M,43,25000
AP110312,F,21,30000
AP110313,M,49,20000
AP110314,F,32,10000
AP110315,F,43,12000
AP110316,F,30,35000
AP110317,M,43,20000
AP110318,M,22,50000
AP110319,M,24,10000
AP110320,F,38,15000
AP110321,M,35,20000
AP110322,M,25,25000
AP110323,M,40,35000
AP110324,F,44,40000
AP110325,M,48,12000
AP110326,M,35,35000
AP110327,F,49,10000
AP110328,M,41,10000
AP110329,F,37,10000
AP110330,F,25,10000
AP110331,F,26,50000
AP110332,M,39,30000
AP110333,F,37,25000
AP110334,F,36,10000
AP110335,F,48,35000
AP110336,F,41,12000
AP110337,M,33,20000
AP110338,M,31,30000
AP110339,F,36,12000
AP110340,M,22,15000
AP110341,M,30,15000
AP110342,F,50,35000
AP110343,M,36,10000
AP110344,F,22,30000
AP110345,M,39,12000
AP110346,F,27,50000
AP110347,F,25,12000
AP110348,M,36,15000
AP110349,M,47,30000
AP110350,M,34,30000
AP110351,F,35,40000
AP110352,M,24,20000
AP110353,M,30,10000
AP110354,M,45,35000
AP110355,F,44,30000
AP110356,F,30,30000
AP110357,F,29,25000
AP110358,M,23,50000
AP110359,M,34,15000
AP110360,M,50,15000
AP110361,F,47,50000
AP110362,F,40,20000
AP110363,F,41,20000
AP110364,F,21,12000
AP110365,F,30,10000
AP110366,M,47,50000
AP110367,F,30,10000
AP110368,M,48,12000
AP110369,F,48,40000
AP110370,F,21,30000
AP110371,M,25,25000
AP110372,M,24,30000
AP110373,F,48,25000
AP110374,F,25,15000
AP110375,M,45,35000
AP110376,F,27,12000
AP110377,F,43,40000
AP110378,M,22,15000
AP110379,F,36,10000
AP110380,M,50,12000
AP110381,M,49,30000
AP110382,F,30,30000
AP110383,M,49,30000
AP110384,M,25,50000
AP110385,M,22,15000
AP110386,F,32,40000
AP110387,F,32,25000
AP110388,M,45,25000
AP110389,M,38,15000
AP110390,F,49,50000
AP110391,F,40,35000
AP110392,M,34,15000
AP110393,F,28,30000
AP110394,M,21,25000
AP110395,M,38,15000
AP110396,M,29,40000
AP110397,M,29,25000
AP110398,M,39,35000
AP110399,M,43,40000
AP110400,F,39,12000
AP110401,F,34,40000
AP110402,F,41,10000
AP110403,F,24,15000
AP110404,F,41,20000
AP110405,F,44,20000
AP110406,M,27,35000
AP110407,M,25,15000
AP110408,M,34,10000
AP110409,M,29,12000
AP110410,M,25,50000
AP110411,F,42,20000
AP110412,M,42,30000
AP110413,M,22,12000
AP110414,M,46,20000
AP110415,F,37,35000
AP110416,M,48,30000
AP110417,F,31,40000
AP110418,F,47,12000
AP110419,F,22,50000
AP110420,F,34,35000
AP110421,F,21,30000
AP110422,M,27,25000
AP110423,M,47,15000
AP110424,M,40,20000
AP110425,F,28,12000
AP110426,M,39,12000
AP110427,M,34,12000
AP110428,F,44,50000
AP110429,F,30,20000
AP110430,M,47,30000
AP110431,F,49,15000
AP110432,M,28,20000
AP110433,M,26,40000
AP110434,M,32,10000
AP110435,M,32,15000
AP110436,F,45,50000
AP110437,M,28,35000
AP110438,M,40,12000
AP110439,F,23,15000
AP110440,M,35,30000
AP110441,F,40,20000
AP110442,M,26,15000
AP110443,M,38,12000
AP110444,M,31,12000
AP110445,F,28,15000
AP110446,F,28,15000
AP110447,M,30,10000
AP110448,F,33,30000
AP110449,F,27,30000
AP110450,M,28,20000
AP110451,M,44,20000
AP110452,F,40,50000
AP110453,F,28,30000
AP110454,F,46,25000
AP110455,M,45,12000
AP110456,F,41,10000
AP110457,F,25,12000
AP110458,F,24,35000
AP110459,F,42,50000
AP110460,F,32,10000
AP110461,F,41,20000
AP110462,F,24,35000
AP110463,F,48,40000
AP110464,F,43,20000
AP110465,F,36,10000
AP110466,F,21,30000
AP110467,F,44,30000
AP110468,F,24,20000
AP110469,M,36,35000
AP110470,F,23,50000
AP110471,F,22,12000
AP110472,M,26,12000
AP110473,M,27,15000
AP110474,M,50,25000
AP110475,M,26,12000
AP110476,F,35,40000
AP110477,F,36,20000
AP110478,F,46,25000
AP110479,F,30,30000
AP110480,F,46,30000
AP110481,M,45,50000
AP110482,M,45,12000
AP110483,M,24,10000
AP110484,M,37,12000
AP110485,M,29,50000
AP110486,F,28,10000
AP110487,M,32,20000
AP110488,M,32,25000
AP110489,F,27,35000
AP110490,F,25,10000
AP110491,M,25,12000
AP110492,F,27,10000
AP110493,F,41,25000
AP110494,M,40,30000
AP110495,M,45,35000
AP110496,F,49,25000
AP110497,M,47,15000
AP110498,F,22,50000
AP110499,M,30,50000
AP110500,F,28,35000
AP110501,F,29,20000
AP110502,F,35,40000
AP110503,M,21,30000
AP110504,M,22,50000
AP110505,F,40,40000
AP110506,F,29,40000
AP110507,F,48,25000
AP110508,F,42,30000
AP110509,F,27,20000
AP110510,F,36,20000
AP110511,M,40,10000
AP110512,M,42,40000
AP110513,M,50,50000
AP110514,F,45,30000
AP110515,M,37,35000
AP110516,F,36,30000
AP110517,M,50,35000
AP110518,M,23,12000
AP110519,F,44,10000
AP110520,F,27,50000
AP110521,M,34,15000
AP110522,M,32,50000
AP110523,F,21,50000
AP110524,M,42,20000
AP110525,M,30,30000
AP110526,F,33,40000
AP110527,F,39,15000
AP110528,M,38,25000
AP110529,F,44,35000
AP110530,F,39,15000
AP110531,F,27,10000
AP110532,M,27,35000
AP110533,M,45,30000
AP110534,F,31,50000
AP110535,F,47,40000
AP110536,M,34,40000
AP110537,F,36,20000
AP110538,F,32,15000
AP110539,M,38,12000
AP110540,F,32,12000
AP110541,F,41,25000
AP110542,F,47,10000
AP110543,F,25,50000
AP110544,F,24,20000
AP110545,F,32,20000
AP110546,M,42,10000
AP110547,F,49,50000
AP110548,F,21,15000
AP110549,F,21,30000
AP110550,F,39,35000
AP110551,M,41,50000
AP110552,F,49,40000
AP110553,F,31,15000
AP110554,F,31,50000
AP110555,F,38,12000
AP110556,F,39,30000
AP110557,M,26,50000
AP110558,M,32,40000
AP110559,M,26,12000
AP110560,F,39,35000
AP110561,M,35,40000
AP110562,F,34,12000
AP110563,F,38,10000
AP110564,M,27,40000
AP110565,M,45,40000
AP110566,F,24,10000
AP110567,F,46,40000
AP110568,F,44,25000
AP110569,F,38,40000
AP110570,M,37,25000
AP110571,F,41,35000
AP110572,M,50,25000
AP110573,F,25,40000
AP110574,F,32,30000
AP110575,F,22,20000
AP110576,F,42,20000
AP110577,F,32,40000
AP110578,F,40,40000
AP110579,F,38,15000
AP110580,F,38,12000
AP110581,F,23,10000
AP110582,M,38,10000
AP110583,F,36,10000
AP110584,M,23,25000
AP110585,M,34,35000
AP110586,F,39,35000
AP110587,F,34,10000
AP110588,M,50,12000
AP110589,F,49,20000
AP110590,M,42,25000
AP110591,F,43,40000
AP110592,M,28,35000
AP110593,M,24,25000
AP110594,F,29,50000
AP110595,M,43,40000
AP110596,M,39,25000
AP110597,F,38,20000
AP110598,F,31,10000
AP110599,F,34,15000
AP110600,M,26,15000
AP110601,F,45,25000
AP110602,M,36,15000
AP110603,M,35,40000
AP110604,F,42,40000
AP110605,F,25,15000
AP110606,F,41,10000
AP110607,F,47,20000
AP110608,M,23,10000
AP110609,M,36,40000
AP110610,F,37,12000
AP110611,M,36,12000
AP110612,M,27,50000
AP110613,M,46,25000
AP110614,M,32,30000
AP110615,M,22,20000
AP110616,M,31,15000
AP110617,M,33,30000
AP110618,M,40,30000
AP110619,F,21,15000
AP110620,M,45,10000
AP110621,M,39,15000
AP110622,M,42,30000
AP110623,F,35,12000
AP110624,M,39,25000
AP110625,F,22,10000
AP110626,F,35,35000
AP110627,F,33,40000
AP110628,F,33,12000
AP110629,M,38,25000
AP110630,F,35,15000
AP110631,F,22,20000
AP110632,M,22,30000
AP110633,F,48,12000
AP110634,M,42,12000
AP110635,F,32,50000
AP110636,F,34,40000
AP110637,M,29,20000
AP110638,F,31,10000
AP110639,M,49,50000
AP110640,M,49,40000
AP110641,M,26,40000
AP110642,M,36,20000
AP110643,F,27,30000
AP110644,F,27,30000
AP110645,M,48,12000
AP110646,F,39,50000
AP110647,M,34,20000
AP110648,F,49,30000
AP110649,M,44,15000
AP110650,F,28,35000
AP110651,F,44,25000
AP110652,F,41,50000
AP110653,M,23,50000
AP110654,M,23,30000
AP110655,F,27,25000
AP110656,M,33,35000
AP110657,F,34,20000
AP110658,F,31,20000
AP110659,M,40,40000
AP110660,F,43,10000
AP110661,M,39,15000
AP110662,F,26,30000
AP110663,M,47,50000
AP110664,M,28,50000
AP110665,F,29,30000
AP110666,F,22,25000
AP110667,M,43,10000
AP110668,F,44,15000
AP110669,M,30,10000
AP110670,M,31,15000
AP110671,F,33,30000
AP110672,M,38,50000
AP110673,F,41,40000
AP110674,F,30,25000
AP110675,F,27,35000
AP110676,M,31,35000
AP110677,M,21,15000
AP110678,F,21,25000
AP110679,F,45,40000
AP110680,M,41,35000
AP110681,M,28,15000
AP110682,M,40,40000
AP110683,F,34,50000
AP110684,M,37,15000
AP110685,F,42,20000
AP110686,F,41,35000
AP110687,F,37,40000
AP110688,F,43,35000
AP110689,F,42,20000
AP110690,M,31,15000
AP110691,M,34,35000
AP110692,M,33,35000
AP110693,M,42,40000
AP110694,F,34,30000
AP110695,F,37,40000
AP110696,M,34,35000
AP110697,F,41,40000
AP110698,M,40,15000
AP110699,M,22,25000
AP110700,F,36,30000
AP110701,F,25,40000
AP110702,M,46,50000
AP110703,F,40,35000
AP110704,F,34,25000
AP110705,F,25,15000
AP110706,M,22,20000
AP110707,F,23,40000
AP110708,M,34,15000
AP110709,M,39,10000
AP110710,F,34,15000
AP110711,M,46,30000
AP110712,M,27,40000
AP110713,M,40,15000
AP110714,F,46,50000
AP110715,M,44,15000
AP110716,M,30,50000
AP110717,F,29,10000
AP110718,F,38,30000
AP110719,F,28,10000
AP110720,F,44,40000
AP110721,F,38,20000
AP110722,M,46,35000
AP110723,F,38,50000
AP110724,M,41,40000
AP110725,F,39,12000
AP110726,M,27,20000
AP110727,M,29,15000
AP110728,M,25,10000
AP110729,F,26,25000
AP110730,F,36,25000
AP110731,F,29,15000
AP110732,M,31,40000
AP110733,F,24,20000
AP110734,M,30,35000
AP110735,M,22,20000
AP110736,F,50,12000
AP110737,M,33,35000
AP110738,M,37,35000
AP110739,F,36,35000
AP110740,F,30,15000
AP110741,M,43,35000
AP110742,M,49,30000
AP110743,M,37,15000
AP110744,F,36,50000
AP110745,M,33,25000
AP110746,F,47,35000
AP110747,F,25,30000
AP110748,M,40,35000
AP110749,M,42,20000
AP110750,M,21,10000
AP110751,F,26,12000
AP110752,F,40,12000
AP110753,F,38,40000
AP110754,F,42,20000
AP110755,F,48,15000
AP110756,M,49,10000
AP110757,F,29,10000
AP110758,F,48,15000
AP110759,M,30,10000
AP110760,F,31,20000
AP110761,M,23,20000
AP110762,F,38,20000
AP110763,F,46,10000
AP110764,M,38,12000
AP110765,F,45,30000
AP110766,F,24,20000
AP110767,F,29,10000
AP110768,F,44,12000
AP110769,F,21,50000
AP110770,F,43,20000
AP110771,M,48,20000
AP110772,M,34,10000
AP110773,F,41,50000
AP110774,F,36,40000
AP110775,F,28,12000
AP110776,F,26,40000
AP110777,F,21,10000
AP110778,F,49,40000
AP110779,F,47,20000
AP110780,M,23,30000
AP110781,F,49,35000
AP110782,M,39,20000
AP110783,M,39,30000
AP110784,M,49,20000
AP110785,F,27,30000
AP110786,F,31,50000
AP110787,F,50,10000
AP110788,F,26,12000
AP110789,F,46,40000
AP110790,M,43,40000
AP110791,F,31,40000
AP110792,M,27,30000
AP110793,F,48,15000
AP110794,M,24,35000
AP110795,F,21,25000
AP110796,F,30,30000
AP110797,F,25,40000
AP110798,F,47,20000
AP110799,M,29,12000
AP110800,F,37,10000
AP110801,F,26,50000
AP110802,F,25,10000
AP110803,F,31,35000
AP110804,F,23,50000
AP110805,F,22,15000
AP110806,F,24,40000
AP110807,F,50,40000
AP110808,F,48,35000
AP110809,F,36,25000
AP110810,M,44,10000
AP110811,M,26,35000
AP110812,F,42,15000
AP110813,M,35,20000
AP110814,M,35,10000
AP110815,M,37,50000
AP110816,M,33,10000
AP110817,M,32,30000
AP110818,M,45,40000
AP110819,F,38,12000
AP110820,M,43,50000
AP110821,M,39,20000
AP110822,M,34,50000
AP110823,M,38,20000
AP110824,F,36,10000
AP110825,M,26,15000
AP110826,F,33,12000
AP110827,M,36,20000
AP110828,F,35,20000
AP110829,M,27,15000
AP110830,M,49,12000
AP110831,M,31,30000
AP110832,F,21,25000
AP110833,F,28,50000
AP110834,F,25,35000
AP110835,F,30,35000
AP110836,M,30,30000
AP110837,M,32,50000
AP110838,F,41,50000
AP110839,F,31,25000
AP110840,M,40,15000
AP110841,M,42,15000
AP110842,F,36,15000
AP110843,F,24,40000
AP110844,F,24,35000
AP110845,M,34,50000
AP110846,M,34,15000
AP110847,M,27,15000
AP110848,M,24,50000
AP110849,M,42,12000
AP110850,F,40,12000
AP110851,M,45,12000
AP110852,F,23,30000
AP110853,F,41,40000
AP110854,F,38,25000
AP110855,F,45,10000
AP110856,F,49,15000
AP110857,F,25,35000
AP110858,F,23,35000
AP110859,M,33,25000
AP110860,M,48,25000
AP110861,M,45,15000
AP110862,F,37,10000
AP110863,F,30,50000
AP110864,F,35,12000
AP110865,F,29,35000
AP110866,M,44,15000
AP110867,F,37,20000
AP110868,F,27,10000
AP110869,M,34,10000
AP110870,M,33,50000
AP110871,F,33,20000
AP110872,M,50,10000
AP110873,F,41,20000
AP110874,M,22,15000
AP110875,F,50,25000
AP110876,F,22,30000
AP110877,F,31,12000
AP110878,F,24,15000
AP110879,M,29,50000
AP110880,F,42,20000
AP110881,M,47,15000
AP110882,F,49,40000
AP110883,M,36,10000
AP110884,M,23,12000
AP110885,M,45,25000
AP110886,F,41,10000
AP110887,M,30,35000
AP110888,M,28,50000
AP110889,F,40,10000
AP110890,M,37,20000
AP110891,M,24,35000
AP110892,M,43,30000
AP110893,F,36,10000
AP110894,M,39,50000
AP110895,M,46,25000
AP110896,F,36,40000
AP110897,F,25,35000
AP110898,M,41,35000
AP110899,M,38,30000
AP110900,M,36,30000
AP110901,M,25,35000
AP110902,F,36,35000
AP110903,F,38,30000
AP110904,F,42,15000
AP110905,M,26,50000
AP110906,M,44,50000
AP110907,M,37,20000
AP110908,M,42,25000
AP110909,F,34,35000
AP110910,F,23,50000
AP110911,M,43,10000
AP110912,F,43,12000
AP110913,F,27,15000
AP110914,F,35,50000
AP110915,M,31,50000
AP110916,M,34,35000
AP110917,F,44,35000
AP110918,M,23,10000
AP110919,M,31,10000
AP110920,F,40,20000
AP110921,F,47,35000
AP110922,M,41,20000
AP110923,F,28,30000
AP110924,M,34,35000
AP110925,M,33,40000
AP110926,F,41,12000
AP110927,F,48,25000
AP110928,F,40,25000
AP110929,M,45,12000
AP110930,M,21,20000
AP110931,F,46,12000
AP110932,F,23,40000
AP110933,F,21,30000
AP110934,M,28,12000
AP110935,M,37,12000
AP110936,F,48,30000
AP110937,F,33,40000
AP110938,F,30,30000
AP110939,F,39,35000
AP110940,F,50,10000
AP110941,M,49,10000
AP110942,F,22,20000
AP110943,F,27,15000
AP110944,M,40,25000
AP110945,M,27,30000
AP110946,F,22,40000
AP110947,F,41,15000
AP110948,M,33,40000
AP110949,F,29,40000
AP110950,F,47,35000
AP110951,M,43,50000
AP110952,F,48,30000
AP110953,F,39,50000
AP110954,F,21,50000
AP110955,F,28,12000
AP110956,M,35,50000
AP110957,M,29,50000
AP110958,F,45,10000
AP110959,M,28,15000
AP110960,M,50,25000
AP110961,F,28,25000
AP110962,F,45,10000
AP110963,F,27,40000
AP110964,F,46,30000
AP110965,F,27,30000
AP110966,F,32,40000
AP110967,F,50,10000
AP110968,M,31,20000
AP110969,M,33,15000
AP110970,M,31,30000
AP110971,F,50,50000
AP110972,M,32,12000
AP110973,M,21,10000
AP110974,F,34,12000
AP110975,M,42,12000
AP110976,F,30,20000
AP110977,F,36,12000
AP110978,F,30,12000
AP110979,M,42,20000
AP110980,M,31,50000
AP110981,F,31,25000
AP110982,F,45,50000
AP110983,M,36,20000
AP110984,F,46,15000
AP110985,M,34,25000
AP110986,F,44,20000
AP110987,F,50,15000
AP110988,M,39,20000
AP110989,M,40,10000
AP110990,M,34,50000
AP110991,M,33,30000
AP110992,F,43,12000
AP110993,M,44,35000
AP110994,F,31,12000
AP110995,M,43,10000
AP110996,F,41,50000
AP110997,M,31,30000
AP110998,M,23,10000
AP110999,M,41,30000
AP111000,F,49,15000
AP111001,F,31,50000
AP111002,M,31,40000
AP111003,M,35,12000
AP111004,M,39,20000
AP111005,M,22,30000
AP111006,F,21,30000
AP111007,F,49,40000
AP111008,F,43,40000
AP111009,M,35,25000
AP111010,M,43,30000
AP111011,F,27,20000
AP111012,F,23,15000
AP111013,F,30,30000
AP111014,F,48,25000
AP111015,F,29,35000
AP111016,F,39,50000
AP111017,F,34,30000
AP111018,F,30,35000
AP111019,M,45,50000
AP111020,M,39,10000
AP111021,F,28,15000
AP111022,M,41,12000
AP111023,M,31,25000
AP111024,F,36,20000
AP111025,F,35,35000
AP111026,F,27,35000
AP111027,F,24,12000
AP111028,F,36,25000
AP111029,M,47,30000
AP111030,F,36,25000
AP111031,M,27,15000
AP111032,M,36,40000
AP111033,M,26,10000
AP111034,M,50,10000
AP111035,F,31,10000
AP111036,M,32,30000
AP111037,M,27,30000
AP111038,F,47,30000
AP111039,F,28,30000
AP111040,F,47,12000
AP111041,F,24,30000
AP111042,M,38,20000
AP111043,F,35,25000
AP111044,M,45,20000
AP111045,F,29,12000
AP111046,M,28,12000
AP111047,M,27,20000
AP111048,M,46,35000
AP111049,M,25,30000
AP111050,M,36,12000
AP111051,F,39,30000
AP111052,F,22,10000
AP111053,M,35,12000
AP111054,F,26,35000
AP111055,F,29,35000
AP111056,M,48,20000
AP111057,F,22,12000
AP111058,F,49,25000
AP111059,M,28,20000
AP111060,F,36,50000
AP111061,M,23,25000
AP111062,M,30,20000
AP111063,M,33,20000
AP111064,F,40,20000
AP111065,F,40,50000
AP111066,F,25,15000
AP111067,M,48,50000
AP111068,F,28,30000
AP111069,F,38,40000
AP111070,F,41,50000
AP111071,F,35,30000
AP111072,M,42,50000
AP111073,F,41,15000
AP111074,M,44,50000
AP111075,M,41,30000
AP111076,M,22,12000
AP111077,F,27,40000
AP111078,M,35,10000
AP111079,F,21,25000
AP111080,F,46,25000
AP111081,F,22,35000
AP111082,F,43,35000
AP111083,F,29,15000
AP111084,F,26,15000
AP111085,M,37,25000
AP111086,F,27,40000
AP111087,M,38,50000
AP111088,F,33,12000
AP111089,F,28,10000
AP111090,M,38,12000
AP111091,F,32,35000
AP111092,M,34,50000
AP111093,M,40,25000
AP111094,F,50,12000
AP111095,F,40,40000
AP111096,F,21,25000
AP111097,F,31,25000
AP111098,F,27,20000
AP111099,F,32,25000
AP111100,M,22,30000
AP111101,M,45,15000
AP111102,M,41,35000
AP111103,M,21,40000
AP111104,M,25,40000
AP111105,F,28,12000
AP111106,F,25,10000
AP111107,M,29,10000
AP111108,M,23,20000
AP111109,F,43,40000
AP111110,M,43,40000
AP111111,F,36,20000
AP111112,M,23,35000
AP111113,M,44,15000
AP111114,F,22,30000
AP111115,M,49,30000
AP111116,F,29,30000
AP111117,M,43,20000
AP111118,F,44,20000
AP111119,F,30,50000
AP111120,M,29,20000
AP111121,F,23,15000
AP111122,M,24,12000
AP111123,M,41,10000
AP111124,M,39,25000
AP111125,M,45,12000
AP111126,F,28,40000
AP111127,M,36,40000
AP111128,M,23,10000
AP111129,F,31,30000
AP111130,M,33,50000
AP111131,F,42,30000
AP111132,F,42,20000
AP111133,M,39,10000
AP111134,M,33,40000
AP111135,M,42,30000
AP111136,M,23,20000
AP111137,M,21,10000
AP111138,M,26,20000
AP111139,M,30,40000
AP111140,F,29,15000
AP111141,F,21,35000
AP111142,M,40,35000
AP111143,M,34,35000
AP111144,M,42,10000
AP111145,M,42,40000
AP111146,M,33,35000
AP111147,M,29,40000
AP111148,M,39,15000
AP111149,M,38,30000
AP111150,F,45,35000
AP111151,M,39,12000
AP111152,F,46,50000
AP111153,F,30,15000
AP111154,F,42,12000
AP111155,M,43,20000
AP111156,F,29,20000
AP111157,M,46,20000
AP111158,F,23,20000
AP111159,F,45,10000
AP111160,M,45,10000
AP111161,M,40,40000
