,GENDER,AGE,INCOME,Churn
102,F,45,12000,0
103,F,31,40000,0
104,M,26,20000,0
105,F,33,12000,0
106,M,45,12000,0
107,M,43,10000,0
108,F,25,30000,0
109,M,46,50000,0
110,M,47,25000,0
111,M,31,10000,0
112,M,30,12000,0
113,M,31,20000,0
114,M,46,12000,0
115,F,42,20000,0
116,M,50,25000,0
117,M,48,15000,0
118,M,43,20000,0
119,F,31,40000,0
120,M,44,15000,0
121,M,29,12000,0
122,M,32,30000,0
123,F,28,15000,0
124,F,30,50000,0
125,F,37,30000,0
126,F,47,10000,0
127,M,28,20000,0
128,M,26,35000,0
129,F,37,20000,0
130,M,45,12000,0
131,M,45,10000,0
132,M,49,50000,0
133,M,25,10000,0
134,F,26,20000,0
135,M,30,40000,0
136,M,39,12000,0
137,M,26,40000,0
138,M,48,50000,0
139,F,48,50000,0
140,M,46,15000,0
141,M,26,15000,0
142,F,34,10000,0
143,M,41,35000,0
144,F,46,50000,0
145,M,35,40000,0
146,M,46,25000,0
147,M,32,20000,0
148,M,36,12000,0
149,F,50,12000,0
150,M,29,30000,0
151,M,48,50000,0
152,F,35,20000,0
153,F,37,35000,0
154,F,45,20000,0
155,F,39,40000,0
156,F,46,12000,0
157,M,47,40000,0
158,M,45,40000,0
159,F,35,30000,0
160,M,39,15000,0
161,M,24,15000,0
162,F,35,10000,0
163,F,49,20000,0
164,M,48,30000,0
165,M,36,12000,0
166,F,33,15000,0
167,M,40,30000,0
168,M,40,12000,0
169,M,49,35000,0
170,M,50,35000,0
171,M,26,25000,0
172,F,41,40000,0
173,F,38,20000,0
174,F,42,30000,0
175,M,45,40000,0
176,M,28,25000,0
177,M,41,40000,0
178,M,40,15000,0
179,M,23,15000,0
180,F,43,40000,0
181,M,30,15000,0
182,M,42,12000,0
183,M,42,10000,0
184,F,45,10000,0
185,M,38,25000,0
186,M,49,20000,0
187,F,38,15000,0
188,M,21,30000,0
189,F,30,10000,0
190,F,32,50000,0
191,F,26,12000,0
192,F,29,20000,0
193,M,30,40000,0
194,F,32,40000,0
195,F,40,35000,0
196,M,30,30000,0
197,M,34,10000,0
198,M,37,35000,0
199,M,28,12000,0
200,M,42,15000,0
201,F,40,15000,0
202,M,31,12000,0
203,M,26,35000,0
204,F,29,40000,0
205,M,38,12000,0
206,M,36,20000,0
207,M,38,10000,0
208,M,44,20000,0
209,F,38,25000,0
210,M,40,30000,0
211,F,28,50000,0
212,F,42,10000,0
213,F,30,10000,0
214,M,37,35000,0
215,F,43,10000,0
216,M,38,12000,0
217,M,28,50000,0
218,M,22,20000,0
219,F,45,40000,0
220,M,34,35000,0
221,M,34,20000,0
222,F,39,35000,0
223,M,42,30000,0
224,F,26,25000,0
225,F,35,15000,0
226,M,32,50000,0
227,F,36,40000,0
228,F,37,40000,0
229,M,37,40000,0
230,F,21,25000,0
231,M,28,20000,0
232,F,37,50000,0
233,F,28,40000,0
234,F,21,50000,0
235,F,34,12000,0
236,M,32,30000,0
237,M,27,15000,0
238,M,34,10000,0
239,M,44,50000,0
240,M,49,30000,0
241,F,21,12000,0
242,F,21,10000,0
243,F,42,12000,0
244,M,47,25000,0
245,F,35,35000,0
246,M,23,40000,0
247,F,27,12000,0
248,F,28,15000,0
249,F,49,20000,0
250,M,28,25000,0
251,M,31,35000,0
252,M,24,30000,0
253,F,49,10000,0
254,F,29,35000,0
255,M,45,20000,0
256,M,33,35000,0
257,M,36,40000,0
258,M,22,30000,0
259,M,25,30000,0
260,F,25,15000,0
261,F,50,20000,0
262,F,50,35000,0
263,F,21,15000,0
264,F,30,10000,0
265,M,48,25000,0
266,M,48,50000,0
267,F,36,30000,0
268,M,47,30000,0
269,F,26,12000,0
270,F,38,20000,0
271,M,26,20000,0
272,F,49,35000,0
273,F,41,20000,0
274,F,46,40000,0
275,F,39,35000,0
276,F,46,15000,0
277,F,33,12000,0
278,M,46,40000,0
279,F,27,40000,0
280,M,48,25000,0
281,F,47,40000,0
282,F,27,15000,0
283,M,24,10000,0
284,M,48,20000,0
285,F,21,30000,0
286,F,23,30000,0
287,M,29,10000,0
288,F,42,35000,0
289,F,43,15000,0
290,F,21,15000,0
291,F,44,12000,0
292,M,23,35000,0
293,M,36,20000,0
294,F,46,25000,0
295,M,30,40000,0
296,F,41,25000,0
297,M,22,35000,0
298,M,36,15000,0
299,M,28,20000,0
300,F,40,12000,0
301,F,46,10000,0
302,F,44,15000,0
303,F,28,40000,0
304,F,22,12000,0
305,F,43,25000,0
306,M,35,15000,0
307,M,25,20000,0
308,F,28,30000,0
309,M,50,25000,0
310,F,46,15000,0
311,M,43,25000,0
312,F,21,30000,0
313,M,49,20000,0
314,F,32,10000,0
315,F,43,12000,0
316,F,30,35000,0
317,M,43,20000,0
318,M,22,50000,0
319,M,24,10000,0
320,F,38,15000,0
321,M,35,20000,0
322,M,25,25000,0
323,M,40,35000,0
324,F,44,40000,0
325,M,48,12000,0
326,M,35,35000,0
327,F,49,10000,0
328,M,41,10000,0
329,F,37,10000,0
330,F,25,10000,0
331,F,26,50000,0
332,M,39,30000,0
333,F,37,25000,0
334,F,36,10000,0
335,F,48,35000,0
336,F,41,12000,0
337,M,33,20000,0
338,M,31,30000,0
339,F,36,12000,0
340,M,22,15000,0
341,M,30,15000,0
342,F,50,35000,0
343,M,36,10000,0
344,F,22,30000,0
345,M,39,12000,0
346,F,27,50000,0
347,F,25,12000,0
348,M,36,15000,0
349,M,47,30000,0
350,M,34,30000,0
351,F,35,40000,0
352,M,24,20000,0
353,M,30,10000,0
354,M,45,35000,0
355,F,44,30000,0
356,F,30,30000,0
357,F,29,25000,0
358,M,23,50000,0
359,M,34,15000,0
360,M,50,15000,0
361,F,47,50000,0
362,F,40,20000,0
363,F,41,20000,0
364,F,21,12000,0
365,F,30,10000,0
366,M,47,50000,0
367,F,30,10000,0
368,M,48,12000,0
369,F,48,40000,0
370,F,21,30000,0
371,M,25,25000,0
372,M,24,30000,0
373,F,48,25000,0
374,F,25,15000,0
375,M,45,35000,0
376,F,27,12000,0
377,F,43,40000,0
378,M,22,15000,0
379,F,36,10000,0
380,M,50,12000,0
381,M,49,30000,0
382,F,30,30000,0
383,M,49,30000,0
384,M,25,50000,0
385,M,22,15000,0
386,F,32,40000,0
387,F,32,25000,0
388,M,45,25000,0
389,M,38,15000,0
390,F,49,50000,0
391,F,40,35000,0
392,M,34,15000,0
393,F,28,30000,0
394,M,21,25000,0
395,M,38,15000,0
396,M,29,40000,0
397,M,29,25000,0
398,M,39,35000,0
399,M,43,40000,0
400,F,39,12000,0
401,F,34,40000,0
402,F,41,10000,0
403,F,24,15000,0
404,F,41,20000,0
405,F,44,20000,0
406,M,27,35000,0
407,M,25,15000,0
408,M,34,10000,0
409,M,29,12000,0
410,M,25,50000,0
411,F,42,20000,0
412,M,42,30000,0
413,M,22,12000,0
414,M,46,20000,0
415,F,37,35000,0
416,M,48,30000,0
417,F,31,40000,0
418,F,47,12000,0
419,F,22,50000,0
420,F,34,35000,0
421,F,21,30000,0
422,M,27,25000,0
423,M,47,15000,0
424,M,40,20000,0
425,F,28,12000,0
426,M,39,12000,0
427,M,34,12000,0
428,F,44,50000,0
429,F,30,20000,0
430,M,47,30000,0
431,F,49,15000,0
432,M,28,20000,0
433,M,26,40000,0
434,M,32,10000,0
435,M,32,15000,0
436,F,45,50000,0
437,M,28,35000,0
438,M,40,12000,0
439,F,23,15000,0
440,M,35,30000,0
441,F,40,20000,0
442,M,26,15000,0
443,M,38,12000,0
444,M,31,12000,0
445,F,28,15000,0
446,F,28,15000,0
447,M,30,10000,0
448,F,33,30000,0
449,F,27,30000,0
450,M,28,20000,0
451,M,44,20000,0
452,F,40,50000,0
453,F,28,30000,0
454,F,46,25000,0
455,M,45,12000,0
456,F,41,10000,0
457,F,25,12000,0
458,F,24,35000,0
459,F,42,50000,0
460,F,32,10000,0
461,F,41,20000,0
462,F,24,35000,0
463,F,48,40000,0
464,F,43,20000,0
465,F,36,10000,0
466,F,21,30000,0
467,F,44,30000,0
468,F,24,20000,0
469,M,36,35000,0
470,F,23,50000,0
471,F,22,12000,0
472,M,26,12000,0
473,M,27,15000,0
474,M,50,25000,0
475,M,26,12000,0
476,F,35,40000,0
477,F,36,20000,0
478,F,46,25000,0
479,F,30,30000,0
480,F,46,30000,0
481,M,45,50000,0
482,M,45,12000,0
483,M,24,10000,0
484,M,37,12000,0
485,M,29,50000,0
486,F,28,10000,0
487,M,32,20000,0
488,M,32,25000,0
489,F,27,35000,0
490,F,25,10000,0
491,M,25,12000,0
492,F,27,10000,0
493,F,41,25000,0
494,M,40,30000,0
495,M,45,35000,0
496,F,49,25000,0
497,M,47,15000,0
498,F,22,50000,0
499,M,30,50000,0
500,F,28,35000,0
501,F,29,20000,0
502,F,35,40000,0
503,M,21,30000,0
504,M,22,50000,0
505,F,40,40000,0
506,F,29,40000,0
507,F,48,25000,0
508,F,42,30000,0
509,F,27,20000,0
510,F,36,20000,0
511,M,40,10000,0
512,M,42,40000,0
513,M,50,50000,0
514,F,45,30000,0
515,M,37,35000,0
516,F,36,30000,0
517,M,50,35000,0
518,M,23,12000,0
519,F,44,10000,0
520,F,27,50000,0
521,M,34,15000,0
522,M,32,50000,0
523,F,21,50000,0
524,M,42,20000,0
525,M,30,30000,0
526,F,33,40000,0
527,F,39,15000,0
528,M,38,25000,0
529,F,44,35000,0
530,F,39,15000,0
531,F,27,10000,0
532,M,27,35000,0
533,M,45,30000,0
534,F,31,50000,0
535,F,47,40000,0
536,M,34,40000,0
537,F,36,20000,0
538,F,32,15000,0
539,M,38,12000,0
540,F,32,12000,0
541,F,41,25000,0
542,F,47,10000,0
543,F,25,50000,0
544,F,24,20000,0
545,F,32,20000,0
546,M,42,10000,0
547,F,49,50000,0
548,F,21,15000,0
549,F,21,30000,0
550,F,39,35000,0
551,M,41,50000,0
552,F,49,40000,0
553,F,31,15000,0
554,F,31,50000,0
555,F,38,12000,0
556,F,39,30000,0
557,M,26,50000,0
558,M,32,40000,0
559,M,26,12000,0
560,F,39,35000,0
561,M,35,40000,0
562,F,34,12000,0
563,F,38,10000,0
564,M,27,40000,0
565,M,45,40000,0
566,F,24,10000,0
567,F,46,40000,0
568,F,44,25000,0
569,F,38,40000,0
570,M,37,25000,0
571,F,41,35000,0
572,M,50,25000,0
573,F,25,40000,0
574,F,32,30000,0
575,F,22,20000,0
576,F,42,20000,0
577,F,32,40000,0
578,F,40,40000,0
579,F,38,15000,0
580,F,38,12000,0
581,F,23,10000,0
582,M,38,10000,0
583,F,36,10000,0
584,M,23,25000,0
585,M,34,35000,0
586,F,39,35000,0
587,F,34,10000,0
588,M,50,12000,0
589,F,49,20000,0
590,M,42,25000,0
591,F,43,40000,0
592,M,28,35000,0
593,M,24,25000,0
594,F,29,50000,0
595,M,43,40000,0
596,M,39,25000,0
597,F,38,20000,0
598,F,31,10000,0
599,F,34,15000,0
600,M,26,15000,0
601,F,45,25000,0
602,M,36,15000,0
603,M,35,40000,0
604,F,42,40000,0
605,F,25,15000,0
606,F,41,10000,0
607,F,47,20000,0
608,M,23,10000,0
609,M,36,40000,0
610,F,37,12000,0
611,M,36,12000,0
612,M,27,50000,0
613,M,46,25000,0
614,M,32,30000,0
615,M,22,20000,0
616,M,31,15000,0
617,M,33,30000,0
618,M,40,30000,0
619,F,21,15000,0
620,M,45,10000,0
621,M,39,15000,0
622,M,42,30000,0
623,F,35,12000,0
624,M,39,25000,0
625,F,22,10000,0
626,F,35,35000,0
627,F,33,40000,0
628,F,33,12000,0
629,M,38,25000,0
630,F,35,15000,0
631,F,22,20000,0
632,M,22,30000,0
633,F,48,12000,0
634,M,42,12000,0
635,F,32,50000,0
636,F,34,40000,0
637,M,29,20000,0
638,F,31,10000,0
639,M,49,50000,0
640,M,49,40000,0
641,M,26,40000,0
642,M,36,20000,0
643,F,27,30000,0
644,F,27,30000,0
645,M,48,12000,0
646,F,39,50000,0
647,M,34,20000,0
648,F,49,30000,0
649,M,44,15000,0
650,F,28,35000,0
651,F,44,25000,0
652,F,41,50000,0
653,M,23,50000,0
654,M,23,30000,0
655,F,27,25000,0
656,M,33,35000,0
657,F,34,20000,0
658,F,31,20000,0
659,M,40,40000,0
660,F,43,10000,0
661,M,39,15000,0
662,F,26,30000,0
663,M,47,50000,0
664,M,28,50000,0
665,F,29,30000,0
666,F,22,25000,0
667,M,43,10000,0
668,F,44,15000,0
669,M,30,10000,0
670,M,31,15000,0
671,F,33,30000,0
672,M,38,50000,0
673,F,41,40000,0
674,F,30,25000,0
675,F,27,35000,0
676,M,31,35000,0
677,M,21,15000,0
678,F,21,25000,0
679,F,45,40000,0
680,M,41,35000,0
681,M,28,15000,0
682,M,40,40000,0
683,F,34,50000,0
684,M,37,15000,0
685,F,42,20000,0
686,F,41,35000,0
687,F,37,40000,0
688,F,43,35000,0
689,F,42,20000,0
690,M,31,15000,0
691,M,34,35000,0
692,M,33,35000,0
693,M,42,40000,0
694,F,34,30000,0
695,F,37,40000,0
696,M,34,35000,0
697,F,41,40000,0
698,M,40,15000,0
699,M,22,25000,0
700,F,36,30000,0
701,F,25,40000,0
702,M,46,50000,0
703,F,40,35000,0
704,F,34,25000,0
705,F,25,15000,0
706,M,22,20000,0
707,F,23,40000,0
708,M,34,15000,0
709,M,39,10000,0
710,F,34,15000,0
711,M,46,30000,0
712,M,27,40000,0
713,M,40,15000,0
714,F,46,50000,0
715,M,44,15000,0
716,M,30,50000,0
717,F,29,10000,0
718,F,38,30000,0
719,F,28,10000,0
720,F,44,40000,0
721,F,38,20000,0
722,M,46,35000,0
723,F,38,50000,0
724,M,41,40000,0
725,F,39,12000,0
726,M,27,20000,0
727,M,29,15000,0
728,M,25,10000,0
729,F,26,25000,0
730,F,36,25000,0
731,F,29,15000,0
732,M,31,40000,0
733,F,24,20000,0
734,M,30,35000,0
735,M,22,20000,0
736,F,50,12000,0
737,M,33,35000,0
738,M,37,35000,0
739,F,36,35000,0
740,F,30,15000,0
741,M,43,35000,0
742,M,49,30000,0
743,M,37,15000,0
744,F,36,50000,0
745,M,33,25000,0
746,F,47,35000,0
747,F,25,30000,0
748,M,40,35000,0
749,M,42,20000,0
750,M,21,10000,0
751,F,26,12000,0
752,F,40,12000,0
753,F,38,40000,0
754,F,42,20000,0
755,F,48,15000,0
756,M,49,10000,0
757,F,29,10000,0
758,F,48,15000,0
759,M,30,10000,0
760,F,31,20000,0
761,M,23,20000,0
762,F,38,20000,0
763,F,46,10000,0
764,M,38,12000,0
765,F,45,30000,0
766,F,24,20000,0
767,F,29,10000,0
768,F,44,12000,0
769,F,21,50000,0
770,F,43,20000,0
771,M,48,20000,0
772,M,34,10000,0
773,F,41,50000,0
774,F,36,40000,0
775,F,28,12000,0
776,F,26,40000,0
777,F,21,10000,0
778,F,49,40000,0
779,F,47,20000,0
780,M,23,30000,0
781,F,49,35000,0
782,M,39,20000,0
783,M,39,30000,0
784,M,49,20000,0
785,F,27,30000,0
786,F,31,50000,0
787,F,50,10000,0
788,F,26,12000,0
789,F,46,40000,0
790,M,43,40000,0
791,F,31,40000,0
792,M,27,30000,0
793,F,48,15000,0
794,M,24,35000,0
795,F,21,25000,0
796,F,30,30000,0
797,F,25,40000,0
798,F,47,20000,0
799,M,29,12000,0
800,F,37,10000,0
801,F,26,50000,0
802,F,25,10000,0
803,F,31,35000,0
804,F,23,50000,0
805,F,22,15000,0
806,F,24,40000,0
807,F,50,40000,0
808,F,48,35000,0
809,F,36,25000,0
810,M,44,10000,0
811,M,26,35000,0
812,F,42,15000,0
813,M,35,20000,0
814,M,35,10000,0
815,M,37,50000,0
816,M,33,10000,0
817,M,32,30000,0
818,M,45,40000,0
819,F,38,12000,0
820,M,43,50000,0
821,M,39,20000,0
822,M,34,50000,0
823,M,38,20000,0
824,F,36,10000,0
825,M,26,15000,0
826,F,33,12000,0
827,M,36,20000,0
828,F,35,20000,0
829,M,27,15000,0
830,M,49,12000,0
831,M,31,30000,0
832,F,21,25000,0
833,F,28,50000,0
834,F,25,35000,0
835,F,30,35000,0
836,M,30,30000,0
837,M,32,50000,0
838,F,41,50000,0
839,F,31,25000,0
840,M,40,15000,0
841,M,42,15000,0
842,F,36,15000,0
843,F,24,40000,0
844,F,24,35000,0
845,M,34,50000,0
846,M,34,15000,0
847,M,27,15000,0
848,M,24,50000,0
849,M,42,12000,0
850,F,40,12000,0
851,M,45,12000,0
852,F,23,30000,0
853,F,41,40000,0
854,F,38,25000,0
855,F,45,10000,0
856,F,49,15000,0
857,F,25,35000,0
858,F,23,35000,0
859,M,33,25000,0
860,M,48,25000,0
861,M,45,15000,0
862,F,37,10000,0
863,F,30,50000,0
864,F,35,12000,0
865,F,29,35000,0
866,M,44,15000,0
867,F,37,20000,0
868,F,27,10000,0
869,M,34,10000,0
870,M,33,50000,0
871,F,33,20000,0
872,M,50,10000,0
873,F,41,20000,0
874,M,22,15000,0
875,F,50,25000,0
876,F,22,30000,0
877,F,31,12000,0
878,F,24,15000,0
879,M,29,50000,0
880,F,42,20000,0
881,M,47,15000,0
882,F,49,40000,0
883,M,36,10000,0
884,M,23,12000,0
885,M,45,25000,0
886,F,41,10000,0
887,M,30,35000,0
888,M,28,50000,0
889,F,40,10000,0
890,M,37,20000,0
891,M,24,35000,0
892,M,43,30000,0
893,F,36,10000,0
894,M,39,50000,0
895,M,46,25000,0
896,F,36,40000,0
897,F,25,35000,0
898,M,41,35000,0
899,M,38,30000,0
900,M,36,30000,0
901,M,25,35000,0
902,F,36,35000,0
903,F,38,30000,0
904,F,42,15000,0
905,M,26,50000,0
906,M,44,50000,0
907,M,37,20000,0
908,M,42,25000,0
909,F,34,35000,0
910,F,23,50000,0
911,M,43,10000,0
912,F,43,12000,0
913,F,27,15000,0
914,F,35,50000,0
915,M,31,50000,0
916,M,34,35000,0
917,F,44,35000,0
918,M,23,10000,0
919,M,31,10000,0
920,F,40,20000,0
921,F,47,35000,0
922,M,41,20000,0
923,F,28,30000,0
924,M,34,35000,0
925,M,33,40000,0
926,F,41,12000,0
927,F,48,25000,0
928,F,40,25000,0
929,M,45,12000,0
930,M,21,20000,0
931,F,46,12000,0
932,F,23,40000,0
933,F,21,30000,0
934,M,28,12000,0
935,M,37,12000,0
936,F,48,30000,0
937,F,33,40000,0
938,F,30,30000,0
939,F,39,35000,0
940,F,50,10000,0
941,M,49,10000,0
942,F,22,20000,0
943,F,27,15000,0
944,M,40,25000,0
945,M,27,30000,0
946,F,22,40000,0
947,F,41,15000,0
948,M,33,40000,0
949,F,29,40000,0
950,F,47,35000,0
951,M,43,50000,0
952,F,48,30000,0
953,F,39,50000,0
954,F,21,50000,0
955,F,28,12000,0
956,M,35,50000,0
957,M,29,50000,0
958,F,45,10000,0
959,M,28,15000,0
960,M,50,25000,0
961,F,28,25000,0
962,F,45,10000,0
963,F,27,40000,0
964,F,46,30000,0
965,F,27,30000,0
966,F,32,40000,0
967,F,50,10000,0
968,M,31,20000,0
969,M,33,15000,0
970,M,31,30000,0
971,F,50,50000,0
972,M,32,12000,0
973,M,21,10000,0
974,F,34,12000,0
975,M,42,12000,0
976,F,30,20000,0
977,F,36,12000,0
978,F,30,12000,0
979,M,42,20000,0
980,M,31,50000,0
981,F,31,25000,0
982,F,45,50000,0
983,M,36,20000,0
984,F,46,15000,0
985,M,34,25000,0
986,F,44,20000,0
987,F,50,15000,0
988,M,39,20000,0
989,M,40,10000,0
990,M,34,50000,0
991,M,33,30000,0
992,F,43,12000,0
993,M,44,35000,0
994,F,31,12000,0
995,M,43,10000,0
996,F,41,50000,0
997,M,31,30000,0
998,M,23,10000,0
999,M,41,30000,0
1000,F,49,15000,0
1001,F,31,50000,0
1002,M,31,40000,0
1003,M,35,12000,0
1004,M,39,20000,0
1005,M,22,30000,0
1006,F,21,30000,0
1007,F,49,40000,0
1008,F,43,40000,0
1009,M,35,25000,0
1010,M,43,30000,0
1011,F,27,20000,0
1012,F,23,15000,0
1013,F,30,30000,0
1014,F,48,25000,0
1015,F,29,35000,0
1016,F,39,50000,0
1017,F,34,30000,0
1018,F,30,35000,0
1019,M,45,50000,0
1020,M,39,10000,0
1021,F,28,15000,0
1022,M,41,12000,0
1023,M,31,25000,0
1024,F,36,20000,0
1025,F,35,35000,0
1026,F,27,35000,0
1027,F,24,12000,0
1028,F,36,25000,0
1029,M,47,30000,0
1030,F,36,25000,0
1031,M,27,15000,0
1032,M,36,40000,0
1033,M,26,10000,0
1034,M,50,10000,0
1035,F,31,10000,0
1036,M,32,30000,0
1037,M,27,30000,0
1038,F,47,30000,0
1039,F,28,30000,0
1040,F,47,12000,0
1041,F,24,30000,0
1042,M,38,20000,0
1043,F,35,25000,0
1044,M,45,20000,0
1045,F,29,12000,0
1046,M,28,12000,0
1047,M,27,20000,0
1048,M,46,35000,0
1049,M,25,30000,0
1050,M,36,12000,0
1051,F,39,30000,0
1052,F,22,10000,0
1053,M,35,12000,0
1054,F,26,35000,0
1055,F,29,35000,0
1056,M,48,20000,0
1057,F,22,12000,0
1058,F,49,25000,0
1059,M,28,20000,0
1060,F,36,50000,0
1061,M,23,25000,0
1062,M,30,20000,0
1063,M,33,20000,0
1064,F,40,20000,0
1065,F,40,50000,0
1066,F,25,15000,0
1067,M,48,50000,0
1068,F,28,30000,0
1069,F,38,40000,0
1070,F,41,50000,0
1071,F,35,30000,0
1072,M,42,50000,0
1073,F,41,15000,0
1074,M,44,50000,0
1075,M,41,30000,0
1076,M,22,12000,0
1077,F,27,40000,0
1078,M,35,10000,0
1079,F,21,25000,0
1080,F,46,25000,0
1081,F,22,35000,0
1082,F,43,35000,0
1083,F,29,15000,0
1084,F,26,15000,0
1085,M,37,25000,0
1086,F,27,40000,0
1087,M,38,50000,0
1088,F,33,12000,0
1089,F,28,10000,0
1090,M,38,12000,0
1091,F,32,35000,0
1092,M,34,50000,0
1093,M,40,25000,0
1094,F,50,12000,0
1095,F,40,40000,0
1096,F,21,25000,0
1097,F,31,25000,0
1098,F,27,20000,0
1099,F,32,25000,0
1100,M,22,30000,0
1101,M,45,15000,0
1102,M,41,35000,0
1103,M,21,40000,0
1104,M,25,40000,0
1105,F,28,12000,0
1106,F,25,10000,0
1107,M,29,10000,0
1108,M,23,20000,0
1109,F,43,40000,0
1110,M,43,40000,0
1111,F,36,20000,0
1112,M,23,35000,0
1113,M,44,15000,0
1114,F,22,30000,0
1115,M,49,30000,0
1116,F,29,30000,0
1117,M,43,20000,0
1118,F,44,20000,0
1119,F,30,50000,0
1120,M,29,20000,0
1121,F,23,15000,0
1122,M,24,12000,0
1123,M,41,10000,0
1124,M,39,25000,0
1125,M,45,12000,0
1126,F,28,40000,0
1127,M,36,40000,0
1128,M,23,10000,0
1129,F,31,30000,0
1130,M,33,50000,0
1131,F,42,30000,0
1132,F,42,20000,0
1133,M,39,10000,0
1134,M,33,40000,0
1135,M,42,30000,0
1136,M,23,20000,0
1137,M,21,10000,0
1138,M,26,20000,0
1139,M,30,40000,0
1140,F,29,15000,0
1141,F,21,35000,0
1142,M,40,35000,0
1143,M,34,35000,0
1144,M,42,10000,0
1145,M,42,40000,0
1146,M,33,35000,0
1147,M,29,40000,0
1148,M,39,15000,0
1149,M,38,30000,0
1150,F,45,35000,0
1151,M,39,12000,0
1152,F,46,50000,0
1153,F,30,15000,0
1154,F,42,12000,0
1155,M,43,20000,0
1156,F,29,20000,0
1157,M,46,20000,0
1158,F,23,20000,0
1159,F,45,10000,0
1160,M,45,10000,0
1161,M,40,40000,0
1162,M,24,10000,0
1163,F,49,30000,0
1164,F,43,20000,0
1165,F,30,12000,0
1166,M,31,50000,0
1167,F,28,25000,0
1168,M,35,15000,0
1169,F,22,20000,0
1170,M,38,35000,0
1171,M,34,10000,0
1172,F,50,12000,0
1173,F,33,50000,0
1174,F,39,25000,0
1175,M,32,40000,0
1176,F,44,35000,0
1177,M,41,20000,0
1178,M,48,25000,0
1179,M,40,35000,0
1180,F,40,15000,0
1181,M,44,35000,0
1182,F,48,12000,0
1183,M,29,25000,0
1184,M,36,25000,0
1185,M,42,20000,0
1186,M,28,50000,0
1187,F,39,40000,0
1188,M,29,10000,0
1189,M,29,15000,0
1190,F,49,35000,0
1191,F,33,40000,0
1192,M,42,40000,0
1193,F,37,50000,0
1194,F,24,15000,0
1195,M,27,35000,0
1196,M,23,15000,0
1197,M,40,35000,0
1198,M,48,50000,0
1199,F,41,25000,0
1200,F,31,12000,0
1201,F,26,12000,0
1202,F,23,25000,0
1203,F,47,40000,0
1204,M,21,15000,0
1205,F,34,50000,0
1206,F,29,30000,0
1207,F,46,35000,0
1208,M,35,50000,0
1209,F,30,30000,0
1210,F,21,15000,0
1211,F,37,50000,0
1212,M,34,40000,0
1213,M,44,30000,0
1214,M,27,15000,0
1215,F,45,50000,0
1216,F,30,25000,0
1217,F,39,35000,0
1218,F,49,12000,0
1219,F,27,40000,0
1220,F,32,30000,0
1221,M,34,15000,0
1222,M,22,30000,0
1223,M,34,25000,0
1224,F,25,12000,0
1225,F,28,40000,0
1226,F,27,15000,0
1227,M,36,20000,0
1228,F,36,40000,0
1229,M,28,12000,0
1230,F,37,10000,0
1231,M,44,25000,0
1232,F,33,25000,0
1233,F,30,10000,0
1234,M,50,30000,0
1235,F,32,30000,0
1236,M,46,10000,0
1237,M,32,10000,0
1238,M,46,50000,0
1239,F,28,15000,0
1240,M,23,15000,0
1241,F,25,40000,0
1242,M,24,35000,0
1243,M,31,25000,0
1244,M,33,40000,0
1245,F,35,35000,0
